pyroCb_id,pyroCb_date_utc,pyroCb_time_utc,pyroCb_longitude,pyroCb_latitude,country,region,satellite,wildfire_id,wildfire_ini_date_utc,wildfire_end_date_utc,length_days,wildfire_centroid_longitude,wildfire_centroid_latitude,extract_longitude,extract_latitude,extract_ini_date_utc,extract_end_date_utc,time_zone,length_fire
161,2018-05-22,1930.0,-90.183333,51.466667,Canada,Ontario,GOES,20981631,2018-05-18,2018-05-28,10,-95.27154679104213,52.03695084930005,-95.27154679104213,52.03695084930005,2018-05-18 05:00:00+00:00,2018-05-28 05:00:00+00:00,America/Winnipeg,10
253,2022-04-01,2355.0,-80.41305,25.610556,US,Southern Florida,GOES,,,,,,,-80.41305,25.610556,2022-03-29 04:00:00+00:00,2022-04-04 04:00:00+00:00,America/New_York,6
178,2021-06-04,1120.0,108.2,59.6,Russia,Irkutsk Oblast,HIMAWARI,,,,,,,108.2,59.6,2021-05-31 16:00:00+00:00,2021-06-06 16:00:00+00:00,Asia/Irkutsk,6
264,2022-06-25,449.0,113.0,64.0,Russia,,HIMAWARI,,,,,,,113.0,64.0,2022-06-21 15:00:00+00:00,2022-06-27 15:00:00+00:00,Asia/Yakutsk,6
183,2021-06-19,2200.0,-113.6605,37.64989,US,UTAH,GOES,,,,,,,-113.6605,37.64989,2021-06-16 06:00:00+00:00,2021-06-22 06:00:00+00:00,America/Denver,6
220,2021-07-27,800.0,114.2,64.4,Russia,,HIMAWARI,,,,,,,114.2,64.4,2021-07-23 15:00:00+00:00,2021-07-29 15:00:00+00:00,Asia/Yakutsk,6
252,2022-03-12,520.0,115.862642,-34.485072,Australia,Western Australia,HIMAWARI,,,,,,,115.862642,-34.485072,2022-03-08 16:00:00+00:00,2022-03-14 16:00:00+00:00,Australia/Perth,6
195,2021-07-08,500.0,117.5,62.5,Russia,,HIMAWARI,,,,,,,117.5,62.5,2021-07-04 15:00:00+00:00,2021-07-10 15:00:00+00:00,Asia/Yakutsk,6
234,2021-08-07,420.0,117.8,65.9,Russia,,HIMAWARI,,,,,,,117.8,65.9,2021-08-03 15:00:00+00:00,2021-08-09 15:00:00+00:00,Asia/Yakutsk,6
219,2021-07-26,1440.0,118.8,65.3,Russia,,HIMAWARI,,,,,,,118.8,65.3,2021-07-22 15:00:00+00:00,2021-07-28 15:00:00+00:00,Asia/Yakutsk,6
123,2020-01-08,,119.6,-32.5,Australia,Bald Rock Fire,HIMAWARI,22890283,2019-12-18,2020-01-13,26,121.49992248322637,-32.159934375080006,121.49992248322637,-32.159934375080006,2019-12-17 16:00:00+00:00,2020-01-12 16:00:00+00:00,Australia/Perth,26
124,2020-01-08,,120.0,-33.0,Australia,Lake King Fire,HIMAWARI,22890283,2019-12-18,2020-01-13,26,121.49992248322637,-32.159934375080006,121.49992248322637,-32.159934375080006,2019-12-17 16:00:00+00:00,2020-01-12 16:00:00+00:00,Australia/Perth,26
87,2019-12-18,,120.0,-32.6,Australia,Esperance,HIMAWARI,22890292,2019-12-02,2019-12-23,21,120.13662229943428,-32.55783591444346,120.13662229943428,-32.55783591444346,2019-12-01 16:00:00+00:00,2019-12-22 16:00:00+00:00,Australia/Perth,21
218,2021-07-26,920.0,120.2,65.8,Russia,,HIMAWARI,,,,,,,120.2,65.8,2021-07-22 15:00:00+00:00,2021-07-28 15:00:00+00:00,Asia/Yakutsk,6
66,2019-02-27,,120.7,-32.5,Australia,Goldfields,HIMAWARI,21929150,2019-02-18,2019-03-04,14,120.6931782668032,-32.64823979839147,120.6931782668032,-32.64823979839147,2019-02-17 16:00:00+00:00,2019-03-03 16:00:00+00:00,Australia/Perth,14
125,2020-01-08,,121.6,-31.9,Australia,Wingarnie,HIMAWARI,22890283,2019-12-18,2020-01-13,26,121.49992248322637,-32.159934375080006,121.49992248322637,-32.159934375080006,2019-12-17 16:00:00+00:00,2020-01-12 16:00:00+00:00,Australia/Perth,26
67,2019-02-27,,122.7,-33.0,Australia,Goldfields,HIMAWARI,21841641,2019-01-19,2019-03-05,45,122.95107548793462,-33.05292712657922,122.95107548793462,-33.05292712657922,2019-01-18 16:00:00+00:00,2019-03-04 16:00:00+00:00,Australia/Perth,45
68,2019-02-27,,122.7,-33.0,Australia,Goldfields,HIMAWARI,21841641,2019-01-19,2019-03-05,45,122.95107548793462,-33.05292712657922,122.95107548793462,-33.05292712657922,2019-01-18 16:00:00+00:00,2019-03-04 16:00:00+00:00,Australia/Perth,45
121,2020-01-08,,123.2,-32.7,Australia,Belladonia,HIMAWARI,22890293,2019-12-20,2020-01-20,31,123.3119796236742,-32.4245125177346,123.3119796236742,-32.4245125177346,2019-12-19 16:00:00+00:00,2020-01-19 16:00:00+00:00,Australia/Perth,31
126,2021-01-23,,123.52,-32.05,Australia,Balladonia,HIMAWARI,,,,,,,123.52,-32.05,2021-01-19 16:00:00+00:00,2021-01-25 16:00:00+00:00,Australia/Perth,6
175,2021-01-23,630.0,123.52,-32.05,Australia,Balladonia,HIMAWARI,,,,,,,123.52,-32.05,2021-01-19 16:00:00+00:00,2021-01-25 16:00:00+00:00,Australia/Perth,6
122,2020-01-08,,123.9,-33.1,Australia,Belladonia,HIMAWARI,22808846,2019-11-26,2020-01-13,48,123.57748920677706,-33.03830362155145,123.57748920677706,-33.03830362155145,2019-11-25 16:00:00+00:00,2020-01-12 16:00:00+00:00,Australia/Perth,48
70,2019-03-01,,124.3,-28.5,Australia,Goldfields,HIMAWARI,21928981,2019-02-22,2019-03-07,13,123.90171634578324,-28.56549355525615,123.90171634578324,-28.56549355525615,2019-02-21 16:00:00+00:00,2019-03-06 16:00:00+00:00,Australia/Perth,13
168,2019-03-01,537.0,124.4,-29.5,Australia,Western Australia,HIMAWARI,21929034,2019-02-21,2019-03-05,12,124.44618919917404,-29.564092837199855,124.44618919917404,-29.564092837199855,2019-02-20 16:00:00+00:00,2019-03-04 16:00:00+00:00,Australia/Perth,12
69,2019-03-01,,124.5,-24.5,Australia,Goldfields,HIMAWARI,22015567,2019-03-01,2019-03-06,5,124.72577519790515,-23.868675593144776,124.72577519790515,-23.868675593144776,2019-02-28 16:00:00+00:00,2019-03-05 16:00:00+00:00,Australia/Perth,5
193,2021-07-05,420.0,132.1,63.0,Russia,,HIMAWARI,,,,,,,132.1,63.0,2021-07-01 15:00:00+00:00,2021-07-07 15:00:00+00:00,Asia/Yakutsk,6
194,2021-07-05,520.0,133.8,62.6,Russia,,HIMAWARI,,,,,,,133.8,62.6,2021-07-01 15:00:00+00:00,2021-07-07 15:00:00+00:00,Asia/Yakutsk,6
192,2021-07-05,250.0,134.5,62.7,Russia,,HIMAWARI,,,,,,,134.5,62.7,2021-07-01 15:00:00+00:00,2021-07-07 15:00:00+00:00,Asia/Khandyga,6
